Date,Last Price,Volume,SMAVG (15)
2023-10-11 18:30:00,105.68,1503615,2240965

2023-10-11 18:00:00,105.495,1761400,2162899

2023-10-11 17:30:00,105.33,2124009,2084472

2023-10-11 17:00:00,105.04,2861214,1978055

2023-10-11 16:30:00,105.33,2161079,1831759

2023-10-11 16:00:00,105.635,2464905,1745163

2023-10-11 15:30:00,105.62,3940169,1638595

2023-10-11 15:00:00,105.67,4906030,1467889

2023-10-11 14:30:00,105.96,7569959,1283144

2023-10-10 20:30:00,110.46,1953698,818586

2023-10-10 20:00:00,110.79,441515,730024

2023-10-10 19:30:00,111.03,449877,753407

2023-10-10 19:00:00,111.06,433410,772170

2023-10-10 18:30:00,111.205,500028,787117

2023-10-10 18:00:00,111.245,543568,792083

2023-10-10 17:30:00,111.02,332616,801540

2023-10-10 17:00:00,111.095,585004,853691

2023-10-10 16:30:00,111.15,527745,909280

2023-10-10 16:00:00,111.04,666782,1005265

2023-10-10 15:30:00,110.71,862137,1074640

2023-10-10 15:00:00,110.43,866392,1214074

2023-10-10 14:30:00,110.3115,1379568,1302347

2023-10-09 20:30:00,110.85,2134861,1277306

2023-10-09 20:00:00,111.03,601587,1182212

2023-10-09 19:30:00,111.07,625272,1194912

2023-10-09 19:00:00,111.10,792260,1198385

2023-10-09 18:30:00,110.61,731327,1204727

2023-10-09 18:00:00,110.52,657612,1230577

2023-10-09 17:30:00,110.54,574518,1280001

2023-10-09 17:00:00,110.6011,685426,1313210

2023-10-09 16:30:00,111.385,1114881,1363941

2023-10-09 16:00:00,111.55,1418827,1383459

2023-10-09 15:30:00,111.43,1967528,1426586

2023-10-09 15:00:00,111.135,1707405,1533517

2023-10-09 14:30:00,110.62,2953638,1564139

2023-10-06 20:30:00,107.19,2190495,1422169

2023-10-06 20:00:00,107.725,1003952,1312770

2023-10-06 19:30:00,107.68,708457,1285171

2023-10-06 19:00:00,108.16,792085,1276279

2023-10-06 18:30:00,108.03,677356,1263565

2023-10-06 18:00:00,108.03,887396,1268592

2023-10-06 17:30:00,107.695,1119083,1258331

2023-10-06 17:00:00,107.79,1398973,1224575

2023-10-06 16:30:00,107.2355,1072647,1209667

2023-10-06 16:00:00,106.5222,1446392,1211608

2023-10-06 15:30:00,105.49,1407649,1195709

2023-10-06 15:00:00,106.15,2065738,1306220

2023-10-06 14:30:00,105.93,3571490,1337614

2023-10-05 20:30:00,108.97,2166729,1160051

2023-10-05 20:00:00,109.12,824095,1071440

2023-10-05 19:30:00,108.955,549500,1068719

2023-10-05 19:00:00,109.08,589981,1095890

2023-10-05 18:30:00,109.395,575073,1090503

2023-10-05 18:00:00,109.27,601379,1095750

2023-10-05 17:30:00,108.98,752752,1098554

2023-10-05 17:00:00,108.89,733482,1100261

2023-10-05 16:30:00,109.1122,612743,1102428

2023-10-05 16:00:00,109.44,1175352,1156161

2023-10-05 15:30:00,109.98,1101760,1176236

2023-10-05 15:00:00,109.93,1207913,1205477

2023-10-05 14:30:00,109.84,3065318,1236265

2023-10-04 20:30:00,111.47,2536639,1073252

2023-10-04 20:00:00,111.005,908050,932960

2023-10-04 19:30:00,110.895,837556,908405

2023-10-04 19:00:00,110.7527,783288,879150

2023-10-04 18:30:00,110.88,957065,854074

2023-10-04 18:00:00,111.67,509172,822516

2023-10-04 17:30:00,112.09,653784,829806

